FIPS,Geographic Name,Geographic Subtype,Total Vote,Barack H. Obama,Willard Mitt Romney,0,Gary Johnson,Jill Stein,Virgil H. Goode, Jr.,James Harris,Stewart Alexander,Peta Lindsay,Write-ins,Ross C. 'Rocky' Anderson,Thomas Hoefling,Roseanne Barr,None of these Candidates,Jim Carlson,Dean Morstad,Merlin Miller,Lowell 'Jack' Fellure,Thomas R. Stevens,Jerry White,Andre Barnett,Randall Terry,Jill Ann Reed,Jerry Litzel,Sheila Tittle,Richard Duncan,Jeff Boss,Barbara Dale Washer,Chuck Baldwin,Will Christensen
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17,vote18,vote19,vote20,vote21,vote22,vote23,vote24,vote25,vote26,vote27,vote28,vote29,vote30
39,Ohio,State,5580870,2827709,2661437,0,49493,18573,8152,0,2967,0,14,0,0,0,0,0,0,0,0,0,0,0,9,14,0,0,12502,0,0,0,0
40,Oklahoma,State,1334872,443547,891325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Oregon,State,1789270,970488,754175,0,24089,19427,0,0,0,0,13275,3384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4432
42,Pennsylvania,State,5742363,2990274,2680434,0,49991,21341,211,0,2,0,0,67,14,20,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,1,0
44,Rhode Island,State,446049,279677,157204,0,4388,2421,430,0,0,132,1381,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,South Carolina,State,1964118,865941,1071645,0,16321,5446,4765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,South Dakota,State,363815,145039,210610,0,5795,0,2371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Tennessee,State,2458577,960709,1462330,0,18623,6515,6022,0,0,0,0,2639,0,0,0,0,0,1739,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Texas,State,7993851,3308124,4569843,0,88580,24657,1287,0,162,0,311,426,374,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0
49,Utah,State,1017440,251813,740600,0,12572,3817,2871,0,0,393,4,5335,0,18,0,0,1,0,0,0,0,5,0,6,0,0,0,0,0,0,5
50,Vermont,State,299290,199239,92698,0,3487,594,13,0,0,695,1427,1128,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Virginia,State,3854489,1971820,1822522,0,31216,8627,13058,0,0,0,7158,73,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0
53,Washington,State,3125564,1755396,1290670,0,42202,20928,8851,1205,0,1318,0,4946,6,34,0,0,0,3,0,0,0,3,0,2,0,0,0,0,0,0,0
54,West Virginia,State,670667,238269,417655,0,6302,4406,119,0,0,0,50,12,5,31,0,0,0,11,0,0,0,0,3806,0,0,0,1,0,0,0,0
55,Wisconsin,State,3068434,1620985,1407966,0,20439,7665,4930,0,0,526,5170,112,0,88,0,0,0,0,0,0,553,0,0,0,0,0,0,0,0,0,0
56,Wyoming,State,249061,69286,170962,0,5326,0,1452,0,0,0,2035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
